model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time,Dataset
Logistic Regression,1,0.7220600344337151,0.7575807514831905,0.6721742944874982,0.7123266444564965,0.7841229299300208,0.7750386096968069,5.3506739139556885,Heart
Logistic Regression,2,0.7255034059435587,0.7603414313854235,0.6772920017546424,0.7164179104477612,0.7912787719655495,0.7789488537500744,3.463300466537476,Heart
Logistic Regression,3,0.7250336876777961,0.7607513593672763,0.6751974261479965,0.7154257379716433,0.7884958558901269,0.7803767948589455,3.0348174571990967,Heart
Logistic Regression,4,0.722488396466537,0.751971672300016,0.6832407136589647,0.7159604627997854,0.7877500686348571,0.7748707203723388,3.0786705017089844,Heart
Logistic Regression,5,0.7211408893546938,0.7567612137203166,0.6710045328264366,0.711307447880338,0.7895188597039874,0.7816814801021519,3.0793628692626958,Heart
KNN,1,0.7093345310277716,0.7250304506699148,0.6963006287468928,0.7103751771462669,0.7645252620077739,0.7428322642320774,183.88770627975464,Heart
KNN,2,0.7130024702447788,0.7284476204956667,0.7005410147682409,0.714221824686941,0.7676044981103506,0.7461607852037594,178.213609457016,Heart
KNN,3,0.7102111094475221,0.7235196624981166,0.7022521205030711,0.7127272727272728,0.7683977865482857,0.7480614376308677,170.25051927566528,Heart
KNN,4,0.7124569546339272,0.7237569060773481,0.708832992102954,0.7162172146287403,0.7692867313120293,0.7463451525851892,169.67306447029114,Heart
KNN,5,0.708713879323252,0.7248322147651006,0.6948384266705658,0.709518477043673,0.763392455508313,0.7422304092817973,180.56432676315308,Heart
Decision Tree,1,0.7280485066247474,0.7615008156606852,0.6825559292294195,0.7198704603284756,0.7883047942286974,0.769100366834854,4.5560386180877686,Heart
Decision Tree,2,0.7316415899393667,0.7644668400520156,0.6876736364965639,0.7240397198060196,0.7940694810617919,0.7751584091160019,5.345918416976929,Heart
Decision Tree,3,0.7275041173828417,0.7865591397849462,0.6418543433752559,0.7068771138669673,0.792470318788725,0.776986385931631,5.528429985046387,Heart
Decision Tree,4,0.73109746968109,0.7632176451508271,0.688212927756654,0.7237772992925253,0.7915778974227388,0.7730480276249864,4.276346206665039,Heart
Decision Tree,5,0.7281030094325498,0.7590887057682986,0.6869425354584003,0.7212158428001229,0.7893649124122115,0.7689731051027008,4.422310829162598,Heart
Random Forest,1,0.7302941836963844,0.7710217755443886,0.6730516157332943,0.7187134046373643,0.7959430171777346,0.7873375289512481,201.60116338729856,Heart
Random Forest,2,0.7324650048656337,0.7684591350106891,0.683287030267583,0.723374613003096,0.8036205648405885,0.795547562577139,205.97398376464844,Heart
Random Forest,3,0.7328941458302141,0.7754380053908356,0.6731500438724773,0.7206826366056052,0.8017416431453964,0.7932703858115562,199.61975359916687,Heart
