model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time
Logistic Regression,1,0.9649122807017544,0.9333333333333333,0.9767441860465116,0.9545454545454546,0.9957418932197838,0.9943851713456906,3.49172043800354
Logistic Regression,2,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9980347199475925,0.9969262390525178,1.1760661602020264
Logistic Regression,3,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9857804232804233,0.9844982707479477,0.8568165302276611
Logistic Regression,4,0.9736842105263158,0.9333333333333333,1.0,0.9655172413793104,1.0,1.0,0.9073135852813721
Logistic Regression,5,0.9911504424778761,1.0,0.9761904761904762,0.9879518072289156,0.9983232729711603,0.997467071935157,0.8279614448547363
KNN,1,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762,0.9986898132983949,0.997942483598655,0.4700629711151123
KNN,2,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9747789059941041,0.9687336086409137,0.43307018280029297
KNN,3,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9775132275132276,0.9734885202250423,0.3642752170562744
KNN,4,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9986772486772486,0.9977701354007974,0.4061241149902344
KNN,5,0.9646017699115044,1.0,0.9047619047619048,0.95,0.9973172367538566,0.9958436953117804,0.3806607723236084
Decision Tree,1,0.8771929824561403,0.7959183673469388,0.9069767441860465,0.8478260869565217,0.9264657713724205,0.8752386248635479,0.5304346084594727
Decision Tree,2,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9613494923026531,0.9358135357094965,0.5529613494873047
Decision Tree,3,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9348544973544972,0.8914258256363519,0.492114782333374
Decision Tree,4,0.9385964912280702,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.935350529100529,0.8750380624458342,0.49846434593200684
Decision Tree,5,0.911504424778761,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.9114688128772636,0.8392535948115487,0.5066726207733154
Random Forest,1,0.9824561403508771,0.9555555555555556,1.0,0.9772727272727273,0.998689813298395,0.9979093258163025,12.807538747787476
Random Forest,2,0.956140350877193,0.975,0.9069767441860465,0.9397590361445783,0.9788732394366196,0.9790814771325866,12.760513544082642
Random Forest,3,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9859457671957672,0.9841471237617854,12.744558095932007
Random Forest,4,0.956140350877193,0.8936170212765957,1.0,0.9438202247191011,0.9940476190476191,0.9902433867297364,12.942132949829102
Random Forest,5,0.9646017699115044,0.975,0.9285714285714286,0.9512195121951219,0.9936284372904092,0.9907347332915037,12.98239803314209
Gradient Boosting,1,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9967245332459875,0.9951937984496126,62.06940293312073
Gradient Boosting,2,0.9122807017543859,0.9459459459459459,0.813953488372093,0.875,0.9891909597117589,0.9821863263695173,57.64836525917053
Gradient Boosting,3,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9834656084656085,0.9852707346538884,56.080162048339844
Gradient Boosting,4,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9963624338624338,0.9941520749407505,59.80128335952759
Gradient Boosting,5,0.9646017699115044,0.975,0.9285714285714286,0.9512195121951219,0.9936284372904092,0.9914509579393751,58.36643862724304
Naive Bayes,1,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9960694398951851,0.9933937751668671,0.005001068115234375
Naive Bayes,2,0.9122807017543859,0.9230769230769231,0.8372093023255814,0.8780487804878049,0.9775630527350148,0.9463384627769151,0.002897500991821289
Naive Bayes,3,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.9884259259259259,0.9837193115626485,0.003229856491088867
Naive Bayes,4,0.9035087719298246,0.8163265306122449,0.9523809523809523,0.8791208791208791,0.9806547619047619,0.9549241308084188,0.0047800540924072266
Naive Bayes,5,0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9916163648558014,0.9884466690372292,0.003218412399291992
MLP (PyTorch),1,0.956140350877193,0.9130434782608695,0.9767441860465116,0.9438202247191011,0.9980347199475925,0.9971523493118177,0.4213218688964844
MLP (PyTorch),2,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.99737962659679,0.9959985370995847,0.2554347515106201
MLP (PyTorch),3,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9871031746031746,0.9860018371340709,0.48561787605285645
MLP (PyTorch),4,0.9473684210526315,0.875,1.0,0.9333333333333333,1.0,1.0,0.44152307510375977
MLP (PyTorch),5,0.9911504424778761,1.0,0.9761904761904762,0.9879518072289156,0.9983232729711603,0.997467071935157,0.44223451614379883
