model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time
Logistic Regression,1,0.7272727272727273,0.5909090909090909,0.7222222222222222,0.65,0.8238888888888889,0.6920424409999215,4.829650640487671
Logistic Regression,2,0.8116883116883117,0.7358490566037735,0.7222222222222222,0.7289719626168224,0.872037037037037,0.774262854595678,0.9496526718139648
Logistic Regression,3,0.7467532467532467,0.6153846153846154,0.7407407407407407,0.6722689075630253,0.8392592592592593,0.7459980654325054,0.5892491340637207
Logistic Regression,4,0.7450980392156863,0.625,0.660377358490566,0.6422018348623854,0.8171698113207547,0.7448300517942945,0.5653116703033447
Logistic Regression,5,0.6928104575163399,0.5405405405405406,0.7547169811320755,0.6299212598425197,0.8139622641509434,0.6871222958399671,0.583545446395874
KNN,1,0.7532467532467533,0.6904761904761905,0.5370370370370371,0.6041666666666666,0.8041666666666666,0.6687702658870442,0.35533809661865234
KNN,2,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.8064814814814815,0.6358917185328486,0.5434627532958984
KNN,3,0.7532467532467533,0.7,0.5185185185185185,0.5957446808510638,0.8063888888888889,0.6816995418661245,0.3121004104614258
KNN,4,0.7516339869281046,0.6744186046511628,0.5471698113207547,0.6041666666666666,0.7679245283018867,0.6446172772268686,0.3540806770324707
KNN,5,0.7124183006535948,0.5957446808510638,0.5283018867924528,0.56,0.7596226415094339,0.5832086664523563,0.3256556987762451
Decision Tree,1,0.7922077922077922,0.6410256410256411,0.9259259259259259,0.7575757575757576,0.8708333333333333,0.7061336627513507,0.33947038650512695
Decision Tree,2,0.7532467532467533,0.6379310344827587,0.6851851851851852,0.6607142857142857,0.8472222222222222,0.7381540078752271,0.5104541778564453
Decision Tree,3,0.6233766233766234,0.47297297297297297,0.6481481481481481,0.546875,0.7114814814814815,0.5796457680172876,0.3036036491394043
Decision Tree,4,0.6862745098039216,0.5352112676056338,0.7169811320754716,0.6129032258064516,0.703679245283019,0.5406336106811469,0.29825663566589355
Decision Tree,5,0.6470588235294118,0.4939759036144578,0.7735849056603774,0.6029411764705882,0.7270754716981132,0.5734365474882542,0.2998776435852051
Random Forest,1,0.7922077922077922,0.7391304347826086,0.6296296296296297,0.68,0.8492592592592592,0.6930119689770631,11.447587490081787
Random Forest,2,0.7727272727272727,0.7111111111111111,0.5925925925925926,0.6464646464646465,0.8487037037037036,0.7230857112266943,10.762737274169922
Random Forest,3,0.7337662337662337,0.6382978723404256,0.5555555555555556,0.594059405940594,0.8151851851851852,0.6935027449469692,11.919489860534668
Random Forest,4,0.7712418300653595,0.68,0.6415094339622641,0.6601941747572816,0.8183018867924527,0.6879995643780298,11.876733779907227
Random Forest,5,0.7320261437908496,0.62,0.5849056603773585,0.6019417475728155,0.7926415094339623,0.6996800807626457,10.876495361328125
Gradient Boosting,1,0.8116883116883117,0.8048780487804879,0.6111111111111112,0.6947368421052632,0.8561111111111112,0.7283672118438183,21.86010766029358
Gradient Boosting,2,0.7922077922077922,0.7391304347826086,0.6296296296296297,0.68,0.8474074074074073,0.7133468973417414,22.69151258468628
Gradient Boosting,3,0.7857142857142857,0.8181818181818182,0.5,0.6206896551724138,0.8251851851851852,0.7346221585846274,23.547200441360474
Gradient Boosting,4,0.738562091503268,0.6444444444444445,0.5471698113207547,0.5918367346938775,0.8116981132075471,0.7073082204134401,23.494558334350586
Gradient Boosting,5,0.7450980392156863,0.6521739130434783,0.5660377358490566,0.6060606060606061,0.7881132075471698,0.6939319072049248,21.23130750656128
Naive Bayes,1,0.7272727272727273,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.7988888888888889,0.6041361141673605,0.0030548572540283203
Naive Bayes,2,0.8181818181818182,0.782608695652174,0.6666666666666666,0.72,0.8594444444444445,0.7689572146732304,0.0021135807037353516
Naive Bayes,3,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.812962962962963,0.7347075766596458,0.0021636486053466797
Naive Bayes,4,0.7254901960784313,0.6170212765957447,0.5471698113207547,0.58,0.7856603773584907,0.5981503830755712,0.0021584033966064453
Naive Bayes,5,0.7320261437908496,0.603448275862069,0.660377358490566,0.6306306306306306,0.800754716981132,0.6681757469523394,0.00212860107421875
MLP (PyTorch),1,0.7597402597402597,0.6666666666666666,0.6296296296296297,0.6476190476190476,0.8440740740740741,0.6856477832000559,2.8185811042785645
MLP (PyTorch),2,0.7857142857142857,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.8701851851851852,0.764568513761703,0.668306827545166
MLP (PyTorch),3,0.7597402597402597,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.8400000000000001,0.7376198801907478,1.6442806720733643
MLP (PyTorch),4,0.7254901960784313,0.7894736842105263,0.2830188679245283,0.4166666666666667,0.7562264150943396,0.6434309319997685,0.34693217277526855
MLP (PyTorch),5,0.7581699346405228,0.6481481481481481,0.660377358490566,0.6542056074766355,0.82,0.6834262226329082,0.34557271003723145
