model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time
Logistic Regression,1,0.7522567703109327,0.1494661921708185,0.84,0.2537764350453172,0.8589862724392818,0.22382230643587114,6.217864513397217
Logistic Regression,2,0.7439759036144579,0.14776632302405499,0.86,0.25219941348973607,0.8273150105708245,0.19799889985040453,0.8082926273345947
Logistic Regression,3,0.714859437751004,0.125,0.78,0.2154696132596685,0.8420084566596194,0.23862643856952648,0.8152866363525391
Logistic Regression,4,0.7068273092369478,0.13293051359516617,0.8979591836734694,0.23157894736842105,0.8534146499148763,0.1795030643679176,0.8311145305633545
Logistic Regression,5,0.7158634538152611,0.12012987012987013,0.7551020408163265,0.20728291316526612,0.8113484041980045,0.16493310146192874,1.0107536315917969
KNN,1,0.9498495486459378,0.0,0.0,0.0,0.6942872228088701,0.11903919636254784,2.610971212387085
KNN,2,0.9497991967871486,0.0,0.0,0.0,0.7177167019027485,0.12423524928757798,1.356759786605835
KNN,3,0.9497991967871486,0.0,0.0,0.0,0.7114270613107823,0.09757195204364412,1.4212861061096191
KNN,4,0.9477911646586346,0.0,0.0,0.0,0.6856022239941382,0.09218176244484982,1.340144395828247
KNN,5,0.9497991967871486,0.0,0.0,0.0,0.7177984182057194,0.10222194163674371,2.303150177001953
Decision Tree,1,0.7753259779338014,0.1375,0.66,0.22758620689655173,0.7913199577613517,0.16039358270512732,0.8218979835510254
Decision Tree,2,0.6576305220883534,0.1078167115902965,0.8,0.19002375296912113,0.801247357293869,0.17319140739122693,0.46926212310791016
Decision Tree,3,0.751004016064257,0.11627906976744186,0.6,0.19480519480519481,0.7230655391120507,0.143611357597754,0.5087268352508545
Decision Tree,4,0.7018072289156626,0.1196319018404908,0.7959183673469388,0.208,0.7924810895847251,0.15444498459119504,0.5117158889770508
Decision Tree,5,0.6485943775100401,0.09866666666666667,0.7551020408163265,0.17452830188679244,0.7391224705299226,0.10937185687772563,0.6423213481903076
Random Forest,1,0.9478435305917753,0.0,0.0,0.0,0.8234530095036959,0.15790751144230555,24.586219310760498
Random Forest,2,0.9497991967871486,0.0,0.0,0.0,0.788107822410148,0.15990510915332792,20.13812565803528
Random Forest,3,0.9497991967871486,0.5,0.02,0.038461538461538464,0.8094186046511627,0.16106628901864373,20.29371666908264
Random Forest,4,0.9497991967871486,0.0,0.0,0.0,0.7943020925371204,0.12932107307813784,18.366175174713135
Random Forest,5,0.9116465863453815,0.14545454545454545,0.16326530612244897,0.15384615384615385,0.7828804172144043,0.13211627867635178,18.055365324020386
Gradient Boosting,1,0.950852557673019,1.0,0.02,0.0392156862745098,0.8436219640971488,0.18915457310659387,57.10604190826416
Gradient Boosting,2,0.9487951807228916,0.0,0.0,0.0,0.8242811839323467,0.17893960199755632,56.966983795166016
Gradient Boosting,3,0.9497991967871486,0.0,0.0,0.0,0.8400951374207188,0.18739256782624572,54.63648724555969
Gradient Boosting,4,0.9508032128514057,0.0,0.0,0.0,0.8565717733767213,0.19320396792335356,52.98648381233215
Gradient Boosting,5,0.9508032128514057,0.0,0.0,0.0,0.8218757407926213,0.15193268075090385,53.760313272476196
Naive Bayes,1,0.8335005015045135,0.1419753086419753,0.46,0.2169811320754717,0.8360295670538542,0.19195262006815592,0.00345611572265625
Naive Bayes,2,0.8112449799196787,0.15841584158415842,0.64,0.25396825396825395,0.8115433403805498,0.18352076433727896,0.003423929214477539
Naive Bayes,3,0.820281124497992,0.12716763005780346,0.44,0.19730941704035873,0.795369978858351,0.14973204039605115,0.0034532546997070312
Naive Bayes,4,0.8142570281124498,0.14583333333333334,0.5714285714285714,0.23236514522821577,0.8225114755511498,0.1526616659674587,0.003275632858276367
Naive Bayes,5,0.821285140562249,0.15508021390374332,0.5918367346938775,0.2457627118644068,0.7717604465228541,0.1353783207822993,0.003195524215698242
MLP (PyTorch),1,0.9498495486459378,0.0,0.0,0.0,0.8476874340021119,0.19604416640179131,16.422348976135254
MLP (PyTorch),2,0.9497991967871486,0.0,0.0,0.0,0.7881183932346723,0.19476191647703064,4.855889797210693
MLP (PyTorch),3,0.9497991967871486,0.0,0.0,0.0,0.8172727272727274,0.24117376713347916,2.1845240592956543
MLP (PyTorch),4,0.9508032128514057,0.0,0.0,0.0,0.8179428054220632,0.17696428009148604,2.686143636703491
MLP (PyTorch),5,0.9467871485943775,0.0,0.0,0.0,0.7816304980281447,0.1397188954657471,1.288522481918335
